Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_ablation_cmc_only_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269, mix_dice: 1.732175, mix_ce: 3.040362
iteration 2: loss: 2.204738, mix_dice: 1.632821, mix_ce: 2.776655
iteration 3: loss: 1.964134, mix_dice: 1.607064, mix_ce: 2.321204
iteration 4: loss: 1.639988, mix_dice: 1.534303, mix_ce: 1.745673
iteration 5: loss: 1.331595, mix_dice: 1.436198, mix_ce: 1.226992
iteration 6: loss: 1.119594, mix_dice: 1.395827, mix_ce: 0.843361
iteration 7: loss: 1.062080, mix_dice: 1.400280, mix_ce: 0.723881
iteration 8: loss: 0.863317, mix_dice: 1.352683, mix_ce: 0.373952
iteration 9: loss: 0.907499, mix_dice: 1.353698, mix_ce: 0.461301
iteration 10: loss: 0.888091, mix_dice: 1.364737, mix_ce: 0.411445
iteration 11: loss: 0.902678, mix_dice: 1.394489, mix_ce: 0.410866
iteration 12: loss: 0.949138, mix_dice: 1.387062, mix_ce: 0.511215
iteration 13: loss: 0.889622, mix_dice: 1.434525, mix_ce: 0.344719
iteration 14: loss: 0.844901, mix_dice: 1.329184, mix_ce: 0.360618
iteration 15: loss: 0.840967, mix_dice: 1.375783, mix_ce: 0.306150
iteration 16: loss: 0.921203, mix_dice: 1.457657, mix_ce: 0.384750
iteration 17: loss: 0.971117, mix_dice: 1.381572, mix_ce: 0.560662
iteration 18: loss: 1.060978, mix_dice: 1.398039, mix_ce: 0.723918
iteration 19: loss: 0.908744, mix_dice: 1.361216, mix_ce: 0.456272
iteration 20: loss: 1.040183, mix_dice: 1.490446, mix_ce: 0.589920
iteration 21: loss: 0.863699, mix_dice: 1.334092, mix_ce: 0.393307
iteration 22: loss: 0.770744, mix_dice: 1.297435, mix_ce: 0.244052
  0%|                                 | 1/455 [00:02<19:52,  2.63s/it]iteration 23: loss: 0.838299, mix_dice: 1.418854, mix_ce: 0.257745
iteration 24: loss: 0.846446, mix_dice: 1.365960, mix_ce: 0.326932
iteration 25: loss: 0.894935, mix_dice: 1.416672, mix_ce: 0.373198
iteration 26: loss: 0.893819, mix_dice: 1.425590, mix_ce: 0.362048
iteration 27: loss: 0.829085, mix_dice: 1.301115, mix_ce: 0.357055
iteration 28: loss: 1.029150, mix_dice: 1.448980, mix_ce: 0.609320
iteration 29: loss: 0.920669, mix_dice: 1.253157, mix_ce: 0.588181
iteration 30: loss: 0.839809, mix_dice: 1.299802, mix_ce: 0.379817
iteration 31: loss: 0.981444, mix_dice: 1.452447, mix_ce: 0.510442
iteration 32: loss: 0.896708, mix_dice: 1.317863, mix_ce: 0.475554
iteration 33: loss: 0.831345, mix_dice: 1.350272, mix_ce: 0.312419
iteration 34: loss: 1.020745, mix_dice: 1.458432, mix_ce: 0.583057
iteration 35: loss: 0.931441, mix_dice: 1.370985, mix_ce: 0.491896
iteration 36: loss: 0.900430, mix_dice: 1.392152, mix_ce: 0.408708
iteration 37: loss: 0.988188, mix_dice: 1.447024, mix_ce: 0.529353
iteration 38: loss: 0.850142, mix_dice: 1.357114, mix_ce: 0.343171
iteration 39: loss: 0.805303, mix_dice: 1.334773, mix_ce: 0.275833
iteration 40: loss: 0.973035, mix_dice: 1.394665, mix_ce: 0.551405
iteration 41: loss: 0.929148, mix_dice: 1.294535, mix_ce: 0.563762
iteration 42: loss: 0.874321, mix_dice: 1.386432, mix_ce: 0.362210
iteration 43: loss: 1.062530, mix_dice: 1.471745, mix_ce: 0.653315
iteration 44: loss: 0.939121, mix_dice: 1.462156, mix_ce: 0.416085
  0%|▏                                | 2/455 [00:04<16:00,  2.12s/it]iteration 45: loss: 0.828045, mix_dice: 1.347932, mix_ce: 0.308158
iteration 46: loss: 0.971773, mix_dice: 1.411864, mix_ce: 0.531682
iteration 47: loss: 0.896684, mix_dice: 1.384364, mix_ce: 0.409004
iteration 48: loss: 0.832937, mix_dice: 1.423709, mix_ce: 0.242165
iteration 49: loss: 0.774278, mix_dice: 1.255801, mix_ce: 0.292756
iteration 50: loss: 0.917686, mix_dice: 1.353552, mix_ce: 0.481820
iteration 51: loss: 0.796018, mix_dice: 1.313878, mix_ce: 0.278158
iteration 52: loss: 0.886151, mix_dice: 1.430381, mix_ce: 0.341921
iteration 53: loss: 0.836980, mix_dice: 1.313782, mix_ce: 0.360177
iteration 54: loss: 0.816609, mix_dice: 1.273435, mix_ce: 0.359784
iteration 55: loss: 0.926051, mix_dice: 1.368973, mix_ce: 0.483128
iteration 56: loss: 0.917106, mix_dice: 1.374244, mix_ce: 0.459968
iteration 57: loss: 0.974586, mix_dice: 1.508398, mix_ce: 0.440775
iteration 58: loss: 0.875545, mix_dice: 1.375786, mix_ce: 0.375304
iteration 59: loss: 0.850624, mix_dice: 1.332976, mix_ce: 0.368273
iteration 60: loss: 0.880779, mix_dice: 1.403050, mix_ce: 0.358509
iteration 61: loss: 0.854873, mix_dice: 1.433885, mix_ce: 0.275861
iteration 62: loss: 0.828802, mix_dice: 1.322977, mix_ce: 0.334627
iteration 63: loss: 0.927730, mix_dice: 1.453509, mix_ce: 0.401951
iteration 64: loss: 0.854424, mix_dice: 1.394501, mix_ce: 0.314348
iteration 65: loss: 0.905982, mix_dice: 1.403642, mix_ce: 0.408323
iteration 66: loss: 0.852851, mix_dice: 1.345604, mix_ce: 0.360099
  1%|▏                                | 3/455 [00:06<14:36,  1.94s/it]iteration 67: loss: 0.821195, mix_dice: 1.316737, mix_ce: 0.325652
iteration 68: loss: 0.890144, mix_dice: 1.335993, mix_ce: 0.444294
iteration 69: loss: 0.849637, mix_dice: 1.330344, mix_ce: 0.368929
iteration 70: loss: 0.896794, mix_dice: 1.436507, mix_ce: 0.357081
iteration 71: loss: 0.891744, mix_dice: 1.398386, mix_ce: 0.385102
iteration 72: loss: 0.929118, mix_dice: 1.425903, mix_ce: 0.432332
iteration 73: loss: 0.913653, mix_dice: 1.425398, mix_ce: 0.401908
iteration 74: loss: 0.857053, mix_dice: 1.424882, mix_ce: 0.289225
iteration 75: loss: 0.803970, mix_dice: 1.341687, mix_ce: 0.266252
iteration 76: loss: 0.860443, mix_dice: 1.352584, mix_ce: 0.368302
iteration 77: loss: 0.764951, mix_dice: 1.306197, mix_ce: 0.223706
iteration 78: loss: 0.859027, mix_dice: 1.341309, mix_ce: 0.376745
iteration 79: loss: 0.751259, mix_dice: 1.285622, mix_ce: 0.216896
iteration 80: loss: 0.952281, mix_dice: 1.356142, mix_ce: 0.548421
iteration 81: loss: 0.829183, mix_dice: 1.397581, mix_ce: 0.260785
iteration 82: loss: 0.744509, mix_dice: 1.267618, mix_ce: 0.221401
iteration 83: loss: 0.809719, mix_dice: 1.236216, mix_ce: 0.383222
iteration 84: loss: 0.774718, mix_dice: 1.231660, mix_ce: 0.317775
iteration 85: loss: 0.793555, mix_dice: 1.256099, mix_ce: 0.331012
iteration 86: loss: 0.750938, mix_dice: 1.272067, mix_ce: 0.229809
iteration 87: loss: 0.970319, mix_dice: 1.472766, mix_ce: 0.467871
iteration 88: loss: 0.928579, mix_dice: 1.370636, mix_ce: 0.486522
  1%|▎                                | 4/455 [00:07<13:16,  1.77s/it]iteration 89: loss: 0.820953, mix_dice: 1.293574, mix_ce: 0.348331
iteration 90: loss: 0.945394, mix_dice: 1.413461, mix_ce: 0.477327
iteration 91: loss: 0.895999, mix_dice: 1.344145, mix_ce: 0.447853
iteration 92: loss: 0.958153, mix_dice: 1.451007, mix_ce: 0.465300
iteration 93: loss: 0.881295, mix_dice: 1.390051, mix_ce: 0.372539
iteration 94: loss: 0.749147, mix_dice: 1.245241, mix_ce: 0.253052
iteration 95: loss: 0.935154, mix_dice: 1.389616, mix_ce: 0.480692
iteration 96: loss: 0.849689, mix_dice: 1.320572, mix_ce: 0.378806
iteration 97: loss: 0.855162, mix_dice: 1.303044, mix_ce: 0.407280
iteration 98: loss: 0.862072, mix_dice: 1.344441, mix_ce: 0.379702
iteration 99: loss: 0.844477, mix_dice: 1.320490, mix_ce: 0.368465
iteration 100: loss: 0.836785, mix_dice: 1.326429, mix_ce: 0.347141
iteration 101: loss: 0.880101, mix_dice: 1.323842, mix_ce: 0.436359
iteration 102: loss: 0.891193, mix_dice: 1.386179, mix_ce: 0.396208
iteration 103: loss: 0.816803, mix_dice: 1.334913, mix_ce: 0.298693
iteration 104: loss: 0.857225, mix_dice: 1.331333, mix_ce: 0.383118
iteration 105: loss: 0.921688, mix_dice: 1.495319, mix_ce: 0.348057
iteration 106: loss: 0.825511, mix_dice: 1.339696, mix_ce: 0.311326
iteration 107: loss: 0.816789, mix_dice: 1.318033, mix_ce: 0.315545
iteration 108: loss: 0.800862, mix_dice: 1.332341, mix_ce: 0.269383
iteration 109: loss: 0.914806, mix_dice: 1.460417, mix_ce: 0.369194
iteration 110: loss: 0.839101, mix_dice: 1.340029, mix_ce: 0.338172
  1%|▎                                | 5/455 [00:09<13:19,  1.78s/it]iteration 111: loss: 0.928011, mix_dice: 1.395864, mix_ce: 0.460158
iteration 112: loss: 0.860959, mix_dice: 1.454683, mix_ce: 0.267236
iteration 113: loss: 0.845495, mix_dice: 1.382302, mix_ce: 0.308689
iteration 114: loss: 0.870031, mix_dice: 1.351861, mix_ce: 0.388200
iteration 115: loss: 0.771709, mix_dice: 1.313728, mix_ce: 0.229690
iteration 116: loss: 0.828353, mix_dice: 1.301469, mix_ce: 0.355236
iteration 117: loss: 0.880629, mix_dice: 1.360204, mix_ce: 0.401055
iteration 118: loss: 0.801467, mix_dice: 1.290742, mix_ce: 0.312192
iteration 119: loss: 0.804940, mix_dice: 1.341819, mix_ce: 0.268060
iteration 120: loss: 0.776451, mix_dice: 1.268190, mix_ce: 0.284713
iteration 121: loss: 0.854032, mix_dice: 1.406166, mix_ce: 0.301898
iteration 122: loss: 1.055968, mix_dice: 1.415350, mix_ce: 0.696587
iteration 123: loss: 0.886675, mix_dice: 1.386521, mix_ce: 0.386829
